th_1 end
th_4 end
th_2 end
th_3 end
 A i=560, c=278, m=12
 A i=561, c=274, m=13
 A i=562, c=735, m=4
 A i=563, c=391, m=6
 A i=564, c=1091, m=2
 A i=565, c=198, m=28
 A i=566, c=261, m=16
 A i=567, c=209, m=14
 A i=568, c=167, m=22
 A i=569, c=919, m=2
 A i=570, c=189, m=22
 A i=571, c=417, m=8
 A i=572, c=950, m=2
 A i=573, c=3771, m=2
 A i=574, c=1977, m=2
 A i=575, c=1171, m=2
 A i=576, c=246, m=8
 A i=577, c=234, m=20
 A i=578, c=1548, m=2
 A i=579, c=204, m=14
 A i=580, c=2131, m=2
 A i=581, c=796, m=2
 A i=582, c=388, m=4
 A i=583, c=946, m=2
 A i=584, c=4023, m=1
 A i=585, c=4340, m=3
 A i=586, c=348, m=6
 A i=587, c=619, m=2
 A i=588, c=1217, m=2
 A i=589, c=434, m=4
 A i=590, c=266, m=14
 A i=591, c=5080, m=2
 A i=592, c=6972, m=2
 A i=593, c=302, m=10
 A i=594, c=1599, m=4
 A i=595, c=724, m=2
 A i=596, c=7494, m=2
 A i=597, c=467, m=4
 A i=598, c=347, m=4
 A i=599, c=249, m=20
 A i=600, c=559, m=6
 A i=601, c=933, m=2
 A i=602, c=311, m=8
 A i=603, c=352, m=10
 A i=604, c=661, m=4
 A i=605, c=230, m=10
 A i=606, c=499, m=2
 A i=607, c=520, m=2
 A i=608, c=823, m=3
 A i=609, c=399, m=10
 A i=610, c=483, m=2
 A i=611, c=1013, m=2
 A i=612, c=871, m=2
 A i=613, c=346, m=6
 A i=614, c=239, m=10
 A i=615, c=389, m=7
 A i=616, c=1996, m=2
 A i=617, c=1381, m=2
 A i=618, c=792, m=4
 A i=619, c=577, m=9
 A i=620, c=3759, m=2
 A i=621, c=555, m=10
 A i=622, c=746, m=2
 A i=623, c=1618, m=2
 A i=624, c=804, m=2
 A i=625, c=259, m=16
 A i=626, c=324, m=6
 A i=627, c=1198, m=2
 A i=628, c=930, m=2
 A i=629, c=2098, m=2
 A i=630, c=345, m=8
 A i=631, c=679, m=2
 A i=632, c=2138, m=2
 A i=633, c=443, m=2
 A i=634, c=473, m=6
 A i=635, c=373, m=5
 A i=636, c=593, m=3
 A i=637, c=634, m=4
 A i=638, c=405, m=4
 A i=639, c=795, m=6
 A i=640, c=2302, m=2
 A i=641, c=1437, m=2
 A i=642, c=663, m=4
 A i=643, c=994, m=2
 A i=644, c=349, m=6
 A i=645, c=551, m=6
 A i=646, c=2009, m=2
 A i=647, c=2239, m=2
 A i=648, c=229, m=6
 A i=649, c=1280, m=2
 A i=650, c=2547, m=2
 A i=651, c=385, m=4
 A i=652, c=268, m=12
 A i=653, c=487, m=6
 A i=654, c=279, m=7
 A i=655, c=583, m=6
 A i=656, c=1621, m=2
 A i=657, c=1384, m=2
 A i=658, c=416, m=4
 A i=659, c=1071, m=2
 A i=660, c=2234, m=1
 A i=661, c=783, m=6
 A i=662, c=4181, m=1
 A i=663, c=357, m=10
 A i=664, c=8363, m=1
 A i=665, c=1685, m=2
 A i=666, c=211, m=20
 A i=667, c=327, m=4
 A i=668, c=180, m=18
 A i=669, c=788, m=3
 A i=670, c=1204, m=2
 A i=671, c=705, m=4
 A i=672, c=645, m=2
 A i=673, c=1019, m=2
 A i=674, c=2284, m=2
 A i=675, c=805, m=7
 A i=676, c=1836, m=2
 A i=677, c=1219, m=2
 A i=678, c=1024, m=2
 A i=679, c=2973, m=2
 A i=680, c=498, m=2
 A i=681, c=481, m=10
 A i=682, c=2167, m=2
 A i=683, c=264, m=14
 A i=684, c=943, m=4
 A i=685, c=556, m=4
 A i=686, c=908, m=2
 A i=687, c=1550, m=2
 A i=688, c=1509, m=2
 A i=689, c=488, m=4
 A i=690, c=701, m=2
 A i=691, c=2177, m=1
 A i=692, c=2132, m=1
 A i=693, c=755, m=4
 A i=694, c=546, m=4
 A i=695, c=406, m=8
 A i=696, c=580, m=2
 A i=697, c=430, m=2
 A i=698, c=482, m=6
 A i=699, c=1400, m=2
 A i=700, c=810, m=5
 A i=701, c=1309, m=2
 A i=702, c=270, m=6
 A i=703, c=361, m=14
 A i=704, c=293, m=6
 A i=705, c=669, m=2
 A i=706, c=693, m=4
 A i=707, c=651, m=2
 A i=708, c=387, m=6
 A i=709, c=652, m=4
 A i=710, c=1022, m=2
 A i=711, c=426, m=4
 A i=712, c=195, m=22
 A i=713, c=328, m=12
 A i=714, c=806, m=3
 A i=715, c=1659, m=2
 A i=716, c=918, m=2
 A i=717, c=728, m=4
 A i=718, c=607, m=2
 A i=719, c=404, m=4
 A i=720, c=554, m=8
 A i=721, c=2255, m=2
 A i=722, c=441, m=2
 A i=723, c=770, m=4
 A i=724, c=1814, m=4
 A i=725, c=1008, m=2
 A i=726, c=830, m=2
 A i=727, c=585, m=2
 A i=728, c=779, m=2
 A i=729, c=5090, m=2
 A i=730, c=944, m=2
 A i=731, c=959, m=2
 A i=732, c=565, m=2
 A i=733, c=1039, m=2
 A i=734, c=456, m=6
 A i=735, c=1030, m=4
 A i=736, c=414, m=6
 A i=737, c=692, m=4
 A i=738, c=8163, m=2
 A i=739, c=1331, m=2
 A i=740, c=1434, m=2
 A i=741, c=1467, m=2
 A i=742, c=1135, m=4
 A i=743, c=7247, m=2
 A i=744, c=764, m=2
 A i=745, c=422, m=4
 A i=746, c=1247, m=4
 A i=747, c=798, m=3
 A i=748, c=301, m=2
